method,path,operation_id,request_schema,platform,module
"post","/api/v1/bilibili/web/fetch_vip_video_playurl","fetch_vip_video_playurl_api_v1_bilibili_web_fetch_vip_video_playurl_post","VIPVideoModel","bilibili","web"
"post","/api/v1/douyin/creator_v2/fetch_author_diagnosis","fetch_author_diagnosis_api_v1_douyin_creator_v2_fetch_author_diagnosis_post","AuthorDiagnosisRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_item_analysis_involved_vertical","fetch_item_analysis_involved_vertical_api_v1_douyin_creator_v2_fetch_item_analysis_involved_vertical_post","ItemAnalysisInvolvedVerticalRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_item_analysis_item_performance","fetch_item_analysis_item_performance_api_v1_douyin_creator_v2_fetch_item_analysis_item_performance_post","ItemAnalysisItemPerformanceRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_item_analysis_overview","fetch_item_analysis_overview_api_v1_douyin_creator_v2_fetch_item_analysis_overview_post","ItemAnalysisOverviewRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_item_audience_others","fetch_item_audience_others_api_v1_douyin_creator_v2_fetch_item_audience_others_post","ItemAudienceOthersRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_item_audience_portrait","fetch_item_audience_portrait_api_v1_douyin_creator_v2_fetch_item_audience_portrait_post","ItemAudiencePortraitRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_item_danmaku_analysis","fetch_item_danmaku_analysis_api_v1_douyin_creator_v2_fetch_item_danmaku_analysis_post","ItemBulletAnalysisRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_item_list","fetch_item_list_api_v1_douyin_creator_v2_fetch_item_list_post","ItemListRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_item_list_download","fetch_item_list_download_api_v1_douyin_creator_v2_fetch_item_list_download_post","ItemListDownloadRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_item_overview_data","fetch_item_overview_data_api_v1_douyin_creator_v2_fetch_item_overview_data_post","ItemMgetRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_item_play_source","fetch_item_play_source_api_v1_douyin_creator_v2_fetch_item_play_source_post","ItemPlaySourceRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_item_search_keyword","fetch_item_search_keyword_api_v1_douyin_creator_v2_fetch_item_search_keyword_post","ItemSearchKeywordRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_item_watch_trend","fetch_item_watch_trend_api_v1_douyin_creator_v2_fetch_item_watch_trend_post","ItemWatchTrendRequest","douyin","creator_v2"
"post","/api/v1/douyin/creator_v2/fetch_live_room_history_list","fetch_live_room_history_list_api_v1_douyin_creator_v2_fetch_live_room_history_list_post","LiveRoomHistoryListRequest","douyin","creator_v2"
"post","/api/v1/douyin/web/fetch_challenge_posts","fetch_challenge_posts_api_v1_douyin_web_fetch_challenge_posts_post","ChallengePostRequest","douyin","web"
"post","/api/v1/douyin/web/fetch_search_challenge","fetch_search_challenge_api_v1_douyin_web_fetch_search_challenge_post","SearchChallengeRequest","douyin","web"
"post","/api/v1/douyin/web/fetch_user_collection_videos","fetch_user_collection_videos_api_v1_douyin_web_fetch_user_collection_videos_post","Body_fetch_user_collection_videos_api_v1_douyin_web_fetch_user_collection_videos_post","douyin","web"
"post","/api/v1/douyin/web/fetch_user_collects","fetch_user_collects_api_v1_douyin_web_fetch_user_collects_post","Body_fetch_user_collects_api_v1_douyin_web_fetch_user_collects_post","douyin","web"
"post","/api/v1/douyin/web/fetch_user_like_videos","fetch_user_like_videos_api_v1_douyin_web_fetch_user_like_videos_post","Body_fetch_user_like_videos_api_v1_douyin_web_fetch_user_like_videos_post","douyin","web"
"post","/api/v1/tiktok/app/v3/fetch_home_feed","fetch_home_feed_api_v1_tiktok_app_v3_fetch_home_feed_post","TikTok_APP_V3_Home_Feed","tiktok","app"
"post","/api/v1/tiktok/creator/get_account_health_status","get_account_health_status_api_v1_tiktok_creator_get_account_health_status_post","GetAccountHealthRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_account_insights_overview","get_account_insights_overview_api_v1_tiktok_creator_get_account_insights_overview_post","GetAccountOverviewRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_account_violation_list","get_account_violation_list_api_v1_tiktok_creator_get_account_violation_list_post","GetViolationRecordRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_creator_account_info","get_creator_account_info_api_v1_tiktok_creator_get_creator_account_info_post","GetCreatorAccountInfoRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_live_analytics_summary","get_live_overview_api_v1_tiktok_creator_get_live_analytics_summary_post","GetLiveOverviewRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_product_analytics_list","get_product_analytics_list_api_v1_tiktok_creator_get_product_analytics_list_post","GetProductListRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_product_related_videos","get_product_related_videos_api_v1_tiktok_creator_get_product_related_videos_post","GetProductRelatedVideosRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_showcase_product_list","get_showcase_product_list_api_v1_tiktok_creator_get_showcase_product_list_post","GetShowcaseProductListRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_video_analytics_summary","get_video_analytics_summary_api_v1_tiktok_creator_get_video_analytics_summary_post","GetVideoOverviewRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_video_associated_product_list","get_video_associated_product_list_api_v1_tiktok_creator_get_video_associated_product_list_post","GetVideoAssociatedProductListRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_video_audience_stats","get_video_audience_stats_api_v1_tiktok_creator_get_video_audience_stats_post","GetVideoAudienceStatsRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_video_detailed_stats","get_video_detailed_stats_api_v1_tiktok_creator_get_video_detailed_stats_post","GetVideoDetailedStatsRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_video_list_analytics","get_video_list_api_v1_tiktok_creator_get_video_list_analytics_post","GetVideoListRequest","tiktok","creator"
"post","/api/v1/tiktok/creator/get_video_to_product_stats","get_video_to_product_stats_api_v1_tiktok_creator_get_video_to_product_stats_post","GetVideoToProductStatsRequest","tiktok","creator"
"post","/api/v1/tiktok/interaction/collect","collect_api_v1_tiktok_interaction_collect_post","CollectRequest","tiktok","interaction"
"post","/api/v1/tiktok/interaction/follow","follow_api_v1_tiktok_interaction_follow_post","FollowRequest","tiktok","interaction"
"post","/api/v1/tiktok/interaction/forward","forward_api_v1_tiktok_interaction_forward_post","ForwardRequest","tiktok","interaction"
"post","/api/v1/tiktok/interaction/like","like_api_v1_tiktok_interaction_like_post","LikeRequest","tiktok","interaction"
"post","/api/v1/tiktok/interaction/post_comment","post_comment_api_v1_tiktok_interaction_post_comment_post","PostCommentRequest","tiktok","interaction"
"post","/api/v1/tiktok/interaction/reply_comment","reply_comment_api_v1_tiktok_interaction_reply_comment_post","ReplyCommentRequest","tiktok","interaction"
"post","/api/v1/tiktok/web/fetch_home_feed","fetch_home_feed_api_v1_tiktok_web_fetch_home_feed_post","Body_fetch_home_feed_api_v1_tiktok_web_fetch_home_feed_post","tiktok","web"
"post","/api/v1/xiaohongshu/web/get_home_recommend","get_home_recommend_api_v1_xiaohongshu_web_get_home_recommend_post","GetHomeFeedRequest","xiaohongshu","web"
"post","/api/v1/xiaohongshu/web/get_note_info_v5","get_note_info_v5_api_v1_xiaohongshu_web_get_note_info_v5_post","GetNoteInfoV5Request","xiaohongshu","web"
"post","/api/v1/xiaohongshu/web/sign","sign_api_v1_xiaohongshu_web_sign_post","XhsWebSignRequestModel","xiaohongshu","web"
