method,path,operation_id,platform,module
"get","/api/v1/demo/demo/cache_status","view_cache_status_api_v1_demo_demo_cache_status_get","demo","demo"
"get","/api/v1/demo/douyin/app/fetch_one_video","douyin_app_fetch_one_video_api_v1_demo_douyin_app_fetch_one_video_get","demo","douyin"
"get","/api/v1/demo/douyin/web/fetch_one_video","douyin_web_fetchone_video_demo_api_v1_demo_douyin_web_fetch_one_video_get","demo","douyin"
"get","/api/v1/demo/douyin_search/app/general_search","douyin_search_general_demo_api_v1_demo_douyin_search_app_general_search_get","demo","douyin_search"
"get","/api/v1/demo/instagram/web/fetch_user_info","instagram_web_fetch_user_info_api_v1_demo_instagram_web_fetch_user_info_get","demo","instagram"
"get","/api/v1/demo/kuaishou/web/fetch_one_video","kuaishou_web_fetch_one_video_api_v1_demo_kuaishou_web_fetch_one_video_get","demo","kuaishou"
"get","/api/v1/demo/tiktok/app/fetch_one_video","tiktok_app_fetch_one_video_api_v1_demo_tiktok_app_fetch_one_video_get","demo","tiktok"
"get","/api/v1/demo/tiktok/web/fetch_user_profile","tiktok_web_fetch_user_profile_api_v1_demo_tiktok_web_fetch_user_profile_get","demo","tiktok"
"get","/api/v1/demo/wechat/article_extract","wechat_article_extract_api_v1_demo_wechat_article_extract_get","demo","wechat"
"get","/api/v1/health/check","health_check_api_v1_health_check_get","health","root"
"get","/api/v1/ios_shortcut/shortcut","get_shortcut_api_v1_ios_shortcut_shortcut_get","ios_shortcut","root"
"get","/api/v1/tikhub/downloader/redirect_download","redirect_download_api_v1_tikhub_downloader_redirect_download_get","tikhub","downloader"
"get","/api/v1/tikhub/downloader/version","update_check_api_v1_tikhub_downloader_version_get","tikhub","downloader"
"get","/api/v1/tikhub/user/get_all_endpoints_info","get_all_endpoints_info_api_v1_tikhub_user_get_all_endpoints_info_get","tikhub","user"
"get","/api/v1/tikhub/user/get_endpoint_info","get_endpoint_info_api_v1_tikhub_user_get_endpoint_info_get","tikhub","user"
"get","/api/v1/tikhub/user/get_tiered_discount_info","get_tiered_discount_info_api_v1_tikhub_user_get_tiered_discount_info_get","tikhub","user"
"get","/api/v1/tiktok/interaction/apply","apply_for_scope_api_v1_tiktok_interaction_apply_get","tiktok","interaction"
