rule_type,method,path,operation_id,policy_note
"no_auto_retry_non_idempotent","get","/api/v1/tiktok/interaction/apply","apply_for_scope_api_v1_tiktok_interaction_apply_get","disable automatic retry unless explicitly forced"
"no_auto_retry_non_idempotent","post","/api/v1/sora2/create_video","create_video_api_v1_sora2_create_video_post","disable automatic retry unless explicitly forced"
"no_auto_retry_non_idempotent","post","/api/v1/sora2/upload_image","upload_image_api_v1_sora2_upload_image_post","disable automatic retry unless explicitly forced"
"no_auto_retry_non_idempotent","post","/api/v1/tiktok/interaction/collect","collect_api_v1_tiktok_interaction_collect_post","disable automatic retry unless explicitly forced"
"no_auto_retry_non_idempotent","post","/api/v1/tiktok/interaction/follow","follow_api_v1_tiktok_interaction_follow_post","disable automatic retry unless explicitly forced"
"no_auto_retry_non_idempotent","post","/api/v1/tiktok/interaction/forward","forward_api_v1_tiktok_interaction_forward_post","disable automatic retry unless explicitly forced"
"no_auto_retry_non_idempotent","post","/api/v1/tiktok/interaction/like","like_api_v1_tiktok_interaction_like_post","disable automatic retry unless explicitly forced"
"no_auto_retry_non_idempotent","post","/api/v1/tiktok/interaction/post_comment","post_comment_api_v1_tiktok_interaction_post_comment_post","disable automatic retry unless explicitly forced"
"no_auto_retry_non_idempotent","post","/api/v1/tiktok/interaction/reply_comment","reply_comment_api_v1_tiktok_interaction_reply_comment_post","disable automatic retry unless explicitly forced"
"rate_limit_1rps","get","/api/v1/sora2/get_task_status","get_task_status_api_v1_sora2_get_task_status_get","enforce at least 1000ms interval"
"rate_limit_1rps","post","/api/v1/sora2/upload_image","upload_image_api_v1_sora2_upload_image_post","enforce at least 1000ms interval"
"retry_on_400_3x","get","/api/v1/tiktok/shop/web/fetch_product_detail","fetch_product_detail_api_v1_tiktok_shop_web_fetch_product_detail_get","if code 400 then retry up to 3 times"
"retry_on_400_3x","get","/api/v1/tiktok/shop/web/fetch_product_detail_v2","fetch_product_detail_v2_api_v1_tiktok_shop_web_fetch_product_detail_v2_get","if code 400 then retry up to 3 times"
"retry_on_400_3x","get","/api/v1/tiktok/shop/web/fetch_product_detail_v3","fetch_product_detail_v3_api_v1_tiktok_shop_web_fetch_product_detail_v3_get","if code 400 then retry up to 3 times"
"retry_on_400_3x","get","/api/v1/tiktok/shop/web/fetch_product_reviews_v1","fetch_product_reviews_v1_api_v1_tiktok_shop_web_fetch_product_reviews_v1_get","if code 400 then retry up to 3 times"
"retry_on_400_3x","get","/api/v1/tiktok/shop/web/fetch_product_reviews_v2","fetch_product_reviews_v2_api_v1_tiktok_shop_web_fetch_product_reviews_v2_get","if code 400 then retry up to 3 times"
"retry_on_400_3x","get","/api/v1/tiktok/shop/web/fetch_products_by_category_id","fetch_products_by_category_id_api_v1_tiktok_shop_web_fetch_products_by_category_id_get","if code 400 then retry up to 3 times"
"retry_on_400_3x","get","/api/v1/tiktok/shop/web/fetch_search_products_list","fetch_search_products_list_api_v1_tiktok_shop_web_fetch_search_products_list_get","if code 400 then retry up to 3 times"
"retry_on_400_3x","get","/api/v1/tiktok/shop/web/fetch_search_products_list_v3","fetch_search_products_list_v3_api_v1_tiktok_shop_web_fetch_search_products_list_v3_get","if code 400 then retry up to 3 times"
"retry_on_400_3x","get","/api/v1/tiktok/shop/web/fetch_search_word_suggestion","fetch_search_word_suggestion_api_v1_tiktok_shop_web_fetch_search_word_suggestion_get","if code 400 then retry up to 3 times"
"retry_on_400_3x","get","/api/v1/tiktok/shop/web/fetch_search_word_suggestion_v2","fetch_search_word_suggestion_v2_api_v1_tiktok_shop_web_fetch_search_word_suggestion_v2_get","if code 400 then retry up to 3 times"
"retry_on_400_3x","get","/api/v1/tiktok/shop/web/fetch_seller_products_list","fetch_seller_products_list_api_v1_tiktok_shop_web_fetch_seller_products_list_get","if code 400 then retry up to 3 times"
"retry_on_400_3x","get","/api/v1/tiktok/shop/web/fetch_seller_products_list_v2","fetch_seller_products_list_v2_api_v1_tiktok_shop_web_fetch_seller_products_list_v2_get","if code 400 then retry up to 3 times"
