method,path,operation_id,platform,module,declared_status_codes,response_profile
get,/api/v1/bilibili/app/fetch_bangumi_tab,fetch_bangumi_tab_api_v1_bilibili_app_fetch_bangumi_tab_get,bilibili,app,200,RESPONSE_MODEL
get,/api/v1/bilibili/app/fetch_cinema_tab,fetch_cinema_tab_api_v1_bilibili_app_fetch_cinema_tab_get,bilibili,app,200,RESPONSE_MODEL
get,/api/v1/bilibili/web/fetch_all_live_areas,fetch_collect_folders_api_v1_bilibili_web_fetch_all_live_areas_get,bilibili,web,200,RESPONSE_MODEL
get,/api/v1/demo/demo/cache_status,view_cache_status_api_v1_demo_demo_cache_status_get,demo,demo,200,RESPONSE_MODEL
get,/api/v1/demo/douyin/app/fetch_one_video,douyin_app_fetch_one_video_api_v1_demo_douyin_app_fetch_one_video_get,demo,douyin,200,RESPONSE_MODEL
get,/api/v1/demo/douyin/web/fetch_one_video,douyin_web_fetchone_video_demo_api_v1_demo_douyin_web_fetch_one_video_get,demo,douyin,200,RESPONSE_MODEL
get,/api/v1/demo/douyin_search/app/general_search,douyin_search_general_demo_api_v1_demo_douyin_search_app_general_search_get,demo,douyin_search,200,RESPONSE_MODEL
get,/api/v1/demo/instagram/web/fetch_user_info,instagram_web_fetch_user_info_api_v1_demo_instagram_web_fetch_user_info_get,demo,instagram,200,RESPONSE_MODEL
get,/api/v1/demo/kuaishou/web/fetch_one_video,kuaishou_web_fetch_one_video_api_v1_demo_kuaishou_web_fetch_one_video_get,demo,kuaishou,200,RESPONSE_MODEL
get,/api/v1/demo/tiktok/app/fetch_one_video,tiktok_app_fetch_one_video_api_v1_demo_tiktok_app_fetch_one_video_get,demo,tiktok,200,RESPONSE_MODEL
get,/api/v1/demo/tiktok/web/fetch_user_profile,tiktok_web_fetch_user_profile_api_v1_demo_tiktok_web_fetch_user_profile_get,demo,tiktok,200,RESPONSE_MODEL
get,/api/v1/demo/wechat/article_extract,wechat_article_extract_api_v1_demo_wechat_article_extract_get,demo,wechat,200,RESPONSE_MODEL
get,/api/v1/douyin/app/v3/fetch_brand_hot_search_list,fetch_hot_brand_search_category_api_v1_douyin_app_v3_fetch_brand_hot_search_list_get,douyin,app,200,RESPONSE_MODEL
get,/api/v1/douyin/app/v3/fetch_live_hot_search_list,fetch_live_hot_search_list_api_v1_douyin_app_v3_fetch_live_hot_search_list_get,douyin,app,200,RESPONSE_MODEL
get,/api/v1/douyin/billboard/fetch_city_list,fetch_city_list_api_v1_douyin_billboard_fetch_city_list_get,douyin,billboard,200,RESPONSE_MODEL
get,/api/v1/douyin/billboard/fetch_content_tag,fetch_content_tag_api_v1_douyin_billboard_fetch_content_tag_get,douyin,billboard,200,RESPONSE_MODEL
get,/api/v1/douyin/creator/fetch_creator_content_category,fetch_creator_content_category_api_v1_douyin_creator_fetch_creator_content_category_get,douyin,creator,200,RESPONSE_MODEL
get,/api/v1/douyin/creator/fetch_creator_hot_challenge_billboard,fetch_creator_hot_challenge_billboard_api_v1_douyin_creator_fetch_creator_hot_challenge_billboard_get,douyin,creator,200,RESPONSE_MODEL
get,/api/v1/douyin/creator/fetch_creator_material_center_config,fetch_creator_material_center_config_api_v1_douyin_creator_fetch_creator_material_center_config_get,douyin,creator,200,RESPONSE_MODEL
get,/api/v1/douyin/creator/fetch_industry_category_config,fetch_industry_category_config_api_v1_douyin_creator_fetch_industry_category_config_get,douyin,creator,200,RESPONSE_MODEL
get,/api/v1/douyin/web/fetch_hot_search_result,fetch_hot_search_result_api_v1_douyin_web_fetch_hot_search_result_get,douyin,web,200,RESPONSE_MODEL
get,/api/v1/douyin/web/generate_real_msToken,generate_real_msToken_api_v1_douyin_web_generate_real_msToken_get,douyin,web,200,RESPONSE_MODEL
get,/api/v1/douyin/web/generate_s_v_web_id,generate_s_v_web_id_api_v1_douyin_web_generate_s_v_web_id_get,douyin,web,200,RESPONSE_MODEL
