operation_id,action_name,skill_package,method,path,platform,module,required_test_suites,tags
TTencrypt_algorithm_api_v1_tiktok_app_v3_TTencrypt_algorithm_post,tiktok.app.v3_TTencrypt_algorithm,skill-tikhub-global-social,post,/api/v1/tiktok/app/v3/TTencrypt_algorithm,tiktok,app,unit|contract|integration|live_smoke|regression,post|json_body
apply_for_scope_api_v1_tiktok_interaction_apply_get,tiktok.interaction.apply,skill-tikhub-global-social,get,/api/v1/tiktok/interaction/apply,tiktok,interaction,unit|contract|integration|live_smoke|regression,no_auth|special_runtime_policy
check_live_room_online_batch_api_v1_tiktok_app_v3_check_live_room_online_batch_post,tiktok.app.v3_check_live_room_online_batch,skill-tikhub-global-social,post,/api/v1/tiktok/app/v3/check_live_room_online_batch,tiktok,app,unit|contract|integration|live_smoke|regression,post|json_body
collect_api_v1_tiktok_interaction_collect_post,tiktok.interaction.collect,skill-tikhub-global-social,post,/api/v1/tiktok/interaction/collect,tiktok,interaction,unit|contract|integration|live_smoke|regression,post|cookie_dependent|special_runtime_policy|json_body
create_video_api_v1_sora2_create_video_post,sora2.root.create_video,skill-tikhub-experimental,post,/api/v1/sora2/create_video,sora2,root,unit|contract|integration|live_smoke|regression,post|special_runtime_policy|json_body
encrypt_decrypt_login_request_api_v1_tiktok_app_v3_encrypt_decrypt_login_request_post,tiktok.app.v3_encrypt_decrypt_login_request,skill-tikhub-global-social,post,/api/v1/tiktok/app/v3/encrypt_decrypt_login_request,tiktok,app,unit|contract|integration|live_smoke|regression,post|json_body
fetch_author_diagnosis_api_v1_douyin_creator_v2_fetch_author_diagnosis_post,douyin.creator_v2.fetch_author_diagnosis,skill-tikhub-douyin-family,post,/api/v1/douyin/creator_v2/fetch_author_diagnosis,douyin,creator_v2,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
fetch_challenge_posts_api_v1_douyin_web_fetch_challenge_posts_post,douyin.web.fetch_challenge_posts,skill-tikhub-douyin-family,post,/api/v1/douyin/web/fetch_challenge_posts,douyin,web,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
fetch_challenge_search_v1_api_v1_douyin_search_fetch_challenge_search_v1_post,douyin.search.fetch_challenge_search_v1,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_challenge_search_v1,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_challenge_search_v2_api_v1_douyin_search_fetch_challenge_search_v2_post,douyin.search.fetch_challenge_search_v2,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_challenge_search_v2,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_challenge_suggest_api_v1_douyin_search_fetch_challenge_suggest_post,douyin.search.fetch_challenge_suggest,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_challenge_suggest,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_comments_api_v1_wechat_channels_fetch_comments_post,wechat_channels.root.fetch_comments,skill-tikhub-video-community,post,/api/v1/wechat_channels/fetch_comments,wechat_channels,root,unit|contract|integration|live_smoke|regression,post|json_body
fetch_content_translate_api_v1_tiktok_app_v3_fetch_content_translate_post,tiktok.app.v3_fetch_content_translate,skill-tikhub-global-social,post,/api/v1/tiktok/app/v3/fetch_content_translate,tiktok,app,unit|contract|integration|live_smoke|regression,post|json_body
fetch_default_search_api_v1_wechat_channels_fetch_default_search_post,wechat_channels.root.fetch_default_search,skill-tikhub-video-community,post,/api/v1/wechat_channels/fetch_default_search,wechat_channels,root,unit|contract|integration|live_smoke|regression,post|json_body
fetch_discuss_search_api_v1_douyin_search_fetch_discuss_search_post,douyin.search.fetch_discuss_search,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_discuss_search,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_experience_search_api_v1_douyin_search_fetch_experience_search_post,douyin.search.fetch_experience_search,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_experience_search,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_general_search_v1_api_v1_douyin_search_fetch_general_search_v1_post,douyin.search.fetch_general_search_v1,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_general_search_v1,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_general_search_v2_api_v1_douyin_search_fetch_general_search_v2_post,douyin.search.fetch_general_search_v2,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_general_search_v2,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_general_search_v3_api_v1_douyin_search_fetch_general_search_v3_post,douyin.search.fetch_general_search_v3,skill-tikhub-douyin-family,post,/api/v1/douyin/search/fetch_general_search_v3,douyin,search,unit|contract|integration|live_smoke|regression,post|json_body
fetch_gift_name_by_id_api_v1_tiktok_web_fetch_gift_name_by_id_post,tiktok.web.fetch_gift_name_by_id,skill-tikhub-global-social,post,/api/v1/tiktok/web/fetch_gift_name_by_id,tiktok,web,unit|contract|integration|live_smoke|regression,post|json_body
fetch_gift_names_by_ids_api_v1_tiktok_web_fetch_gift_names_by_ids_post,tiktok.web.fetch_gift_names_by_ids,skill-tikhub-global-social,post,/api/v1/tiktok/web/fetch_gift_names_by_ids,tiktok,web,unit|contract|integration|live_smoke|regression,post|json_body
fetch_home_feed_api_v1_tiktok_app_v3_fetch_home_feed_post,tiktok.app.v3_fetch_home_feed,skill-tikhub-global-social,post,/api/v1/tiktok/app/v3/fetch_home_feed,tiktok,app,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
fetch_home_feed_api_v1_tiktok_web_fetch_home_feed_post,tiktok.web.fetch_home_feed,skill-tikhub-global-social,post,/api/v1/tiktok/web/fetch_home_feed,tiktok,web,unit|contract|integration|live_smoke|regression,post|cookie_dependent|json_body
fetch_home_page_api_v1_wechat_channels_fetch_home_page_post,wechat_channels.root.fetch_home_page,skill-tikhub-video-community,post,/api/v1/wechat_channels/fetch_home_page,wechat_channels,root,unit|contract|integration|live_smoke|regression,post|json_body
fetch_hot_account_list_api_v1_douyin_billboard_fetch_hot_account_list_post,douyin.billboard.fetch_hot_account_list,skill-tikhub-douyin-family,post,/api/v1/douyin/billboard/fetch_hot_account_list,douyin,billboard,unit|contract|integration|live_smoke|regression,post|json_body
